dataset,seed,user_id,statement_id,x_normalised,y_normalised
rai,5,E_coords,232,0.03828534031413613,0.05402887750349324
rai,4,D_coords,62,0.8343004513217279,0.7120297259637715
welfare,3,A_coords,1020,0.8235915492957746,0.4210009813542689
rai,14,E_coords,148,0.7963078848560701,0.636568848758465
rai,24,G_coords,104,0.07261410788381743,0.4837457544881126
welfare,10,G_coords,1027,0.5326370757180157,0.12264995523724262
rai,25,G_coords,540,0.5402653502005554,0.29763560500695413
rai,26,H_coords,864,0.38748771699967244,0.5788031064412974
rai,2,A_coords,768,0.07517482517482517,0.43986254295532645
rai,15,G_coords,310,0.13569604086845466,0.28789279112754157
welfare,12,E_coords,939,0.49332285938727416,0.6717557251908397
rai,19,E_coords,527,0.4,0.5339506172839507
rai,10,H_coords,685,0.731604765241766,0.32231404958677684
welfare,28,H_coords,1005,0.4573274396463788,0.7166666666666667
welfare,5,E_coords,873,0.2937962070073931,0.2201923076923077
welfare,3,H_coords,1074,0.5586160564326503,0.18134957825679476
rai,18,G_coords,96,0.3974700399467377,0.3771971496437055
welfare,4,H_coords,879,0.038896189224704336,0.2979120059656972
rai,1,D_coords,856,0.6875205795192624,0.39446870451237265
rai,15,E_coords,0,0.2955533266466065,0.7100297914597815
rai,25,G_coords,361,0.7497685899413761,0.6230876216968011
rai,20,E_coords,86,0.9695637470409199,0.6928007889546351
rai,0,H_coords,735,0.5406214900786223,0.6245700245700245
rai,12,A_coords,511,0.8397415185783522,0.11561219845243514
rai,7,A_coords,190,0.29344,0.9079439252336449
rai,8,D_coords,737,0.32052545155993434,0.20134874759152216
welfare,6,B_coords,1230,0.7303142953700574,0.3110348770726129
rai,27,B_coords,0,0.3049843150923667,0.6235356762513312
welfare,9,G_coords,1248,0.6362252663622526,0.5114583333333333
rai,10,H_coords,81,0.6888577435178697,0.6553232863393291
rai,2,A_coords,841,0.6797202797202797,0.46048109965635736
rai,16,G_coords,492,0.514367816091954,0.7518484288354899
welfare,6,B_coords,932,0.16525853328827306,0.45511720983419096
rai,6,G_coords,449,0.7039390088945362,0.3959435626102293
rai,16,B_coords,748,0.32149651236525045,0.5503947979563399
rai,18,B_coords,806,0.5096893263611196,0.5427689594356261
rai,4,D_coords,16,0.8891038039974211,0.0548072457036693
rai,6,B_coords,236,0.8398335933437338,0.5305810397553516
welfare,10,A_coords,1186,0.5410660408984244,0.7914873266379723
welfare,27,G_coords,1197,0.6426611796982168,0.46037919299951385
welfare,10,A_coords,917,0.7676835400603419,0.29411764705882354
rai,19,E_coords,540,0.6534124629080119,0.2310405643738977
rai,9,B_coords,572,0.22177283451297608,0.5058346017250127
rai,13,G_coords,47,0.09075742409075742,0.7492625368731564
rai,7,E_coords,61,0.37699576409253827,0.7123420796890184
welfare,6,B_coords,1132,0.23487664751605272,0.2332761578044597
rai,23,A_coords,709,0.6224120933289516,0.887049659201558
welfare,10,G_coords,1227,0.8319190600522193,0.7658907788719785
welfare,1,H_coords,1166,0.5664092664092664,0.643094447081158
rai,9,B_coords,456,0.2885069093360297,0.43480466768138
rai,15,E_coords,393,0.27214978268137746,0.5218470705064548
rai,1,D_coords,262,0.41751728679618044,0.42018437651625423
rai,22,A_coords,566,0.5610236220472441,0.12186046511627907
rai,21,D_coords,833,0.8313085734120097,0.5433194154488518
welfare,0,A_coords,935,0.1969335604770017,0.28252427184466017
rai,2,H_coords,678,0.5908810844115835,0.5301587301587302
welfare,9,D_coords,969,0.4510924369747899,0.09295639674173455
welfare,2,E_coords,1149,0.7900194426441997,0.3380281690140845
rai,14,B_coords,806,0.21273757919306435,0.2907981698017285
rai,18,G_coords,10,0.8169107856191744,0.19002375296912113
rai,0,D_coords,737,0.3615934627170582,0.5804977145759269
