dataset,seed,model,v_measure,adjusted_rand_index
gov-ai,9,Qwen3-Embedding-Scandi-0.6B,0.4807760307762904,0.09588724584103513
gov-ai,9,bge-m3,0.6657755364778051,0.16794995187680462
gov-ai,9,dfm-sentence-encoder-large,0.45062692241942653,0.14824184163926132
gov-ai,9,jaccard-binary,0.26834155895026124,0.03511211541804276
gov-ai,9,m2v-dfm-large,0.33982616247350095,0.06342747726184778
gov-ai,9,mmBERTscandi-base-embedding,0.37179612174533194,0.06813706183536826
gov-ai,9,model2vecdk,0.5756882692373362,0.1949359365466748
gov-ai,9,model2vecdk-stem,0.6017220355764828,0.19447424892703863
gov-ai,9,multilingual-e5-base,0.6169722948855088,0.11602806260118725
gov-ai,9,multilingual-e5-large,0.30562661322318974,0.05021662071681765
gov-ai,9,multilingual-e5-large-instruct,0.19339681062201597,-0.012341387102381366
gov-ai,9,multilingual-e5-small,0.6169722948855088,0.11602806260118725
gov-ai,9,mxbai-embed-large-v1,0.3834052939599068,0.08060619371842741
gov-ai,9,nb-sbert-base,0.6235459400550045,0.13679480778831754
gov-ai,9,paraphrase-multilingual-MiniLM-L12-v2,0.37420539894252325,0.10220086010624842
gov-ai,9,paraphrase-multilingual-mpnet-base-v2,0.7708656464409049,0.17497733454215775
gov-ai,9,potion-base-2M,0.6246816101336063,0.22095393395841825
gov-ai,9,potion-base-4M,0.7027697151399874,0.0558659217877095
gov-ai,9,potion-base-8M,0.7027697151399874,0.0558659217877095
gov-ai,9,potion-multilingual-128M,0.4205440280036865,0.07486136783733827
gov-ai,9,snowflake-arctic-embed-l-v2.0,0.435209402203954,0.06683168316831684
gov-ai,9,static-similarity-mrl-multilingual-v1,0.1289192956306845,-0.009881422924901184
gov-ai,9,text-embedding-3-large,0.3834052939599068,0.08060619371842741
gov-ai,9,text-embedding-3-small,0.5620856323836863,0.1272378516624041
gov-ai,9,text-embedding-ada-002,0.6869377325872157,0.1210560206052801
gov-ai,9,tfidf-char35,0.7763309173635016,0.11478599221789884
gov-ai,9,xlm-roberta-base,0.13184987341207993,-0.06725706079463858
gov-ai,9,xlm-roberta-large,0.1289192956306845,-0.009881422924901184
gov-ai,8,EmbeddingGemma-Scandi-300m,0.7141153948568448,0.3274799159560005
gov-ai,8,LaBSE,0.650134668687086,0.2123716326368939
gov-ai,8,M2V_base_glove,0.1864234589153359,-0.009042117230256722
gov-ai,8,M2V_base_glove_subword,0.18292783829634165,-0.013440720071951587
gov-ai,8,M2V_base_output,0.5924315215013883,0.07983593349447007
gov-ai,8,Qwen3-Embedding-0.6B,0.6657279974196838,0.1687537268932618
gov-ai,8,Qwen3-Embedding-Scandi-0.6B,0.47620800804617414,0.18374531835205993
gov-ai,8,bge-m3,0.6419486101481062,0.21771906855179846
gov-ai,8,dfm-sentence-encoder-large,0.08958672071287334,-0.022481358083452325
gov-ai,8,jaccard-binary,0.15039939858537,0.020178264766545446
gov-ai,8,m2v-dfm-large,0.1272856200858238,-0.02308286201633899
gov-ai,8,mmBERTscandi-base-embedding,0.7291741083457417,0.3357484652244124
gov-ai,8,model2vecdk,0.36052812248229904,0.014616688877626995
gov-ai,8,model2vecdk-stem,0.4135438516296052,0.0278563128990625
gov-ai,8,multilingual-e5-base,0.7492304160311272,0.325664096995155
gov-ai,8,multilingual-e5-large,0.5239344762375728,0.16571575070343364
